"Name of Satellite, Alternate Names",Current Official Name of Satellite,Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Date of Launch,Expected Lifetime (yrs.),Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number
IRNSS-1D (Indian Regional Navigation Satellite System),IRNSS-1D,NR,India,Indian Space Research Organization (ISRO),Government,Navigation/Regional Positioning,,GEO,,111.7,35699,35834,0.001601937,30.04,1435.06,1425,598,1600,30-03-2015,12,ISRO Satellite Center,India,Satish Dhawan Space Centre,PSLV-C27,2015-018A,40547
IRNSS-1E (Indian Regional Navigation Satellite System),IRNSS-1E,NR,India,Indian Space Research Organization (ISRO),Government,Navigation/Regional Positioning,,GEO,,111.7,35695,35874,0.002123142,28.09,1436.01,1425,598,1600,20-01-2016,12,ISRO Satellite Center,India,Satish Dhawan Space Centre,PSLV-XL,2016-003A,41241
IRNSS-1F (Indian Regional Navigation Satellite System),IRNSS-1F,India,India,Indian Space Research Organization (ISRO),Government,Navigation/Regional Positioning,,GEO,,32.5,35700,35874,0.002063714,5.09,1436.13,1425,598,1600,10-03-2016,12,IRSO Satellite Center,India,Satish Dhawan Space Centre,PSLV-XL,2016-015A,41384
IRNSS-1G (Indian Regional Navigation Satellite System),IRNSS-1G,India,India,Indian Space Research Organization (ISRO),Government,Navigation/Regional Positioning,,GEO,,129.5,35774,35797,0.0002728,5.06,1436.05,1425,598,1600,28-04-2016,12,IRSO Satellite Center,India,Satish Dhawan Space Centre,PSLV,2016-027A,41469
IRNSS-1I (Indian Regional Navigation Satellite System),IRNSS-1I,India,India,Indian Space Research Organization (ISRO),Government,Navigation/Regional Positioning,,GEO,,55,35702,35872,0.002016273,28.5,1436.1,1425,598,1600,11-04-2018,10,IRSO Satellite Center,India,Satish Dhawan Space Centre,PSLV,2018-035A,43286
IRS-P6 (Resourcesat-1) ,IRS-P6,India,India,Indian Space Research Organization (ISRO),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,817,823,0.000417246,98.8,101.3,1360,,1200,17-10-2003,5,ISRO Satellite Center,India,Satish Dhawan Space Centre,PSLV C5,2003-046A,28051
Microsat-TD,Microsat-TD,India,India,Indian Space Research Organization (ISRO),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,327,368,0.003051731,97.2,91.4,120,,,11-01-2018,,ISRO Satellite Center,India,Satish Dhawan Space Centre,PSLV,2018-004T,43128
PISAT ,PISAT,India,India,Indian Space Research Organization (ISRO),Government,Technology Development,Optical Imaging,LEO,Sun-Synchronous,0,661,704,0.003048564,98.2,94.8,6,,,26-09-2016,,"PES University, Bengaluru",India,Satish Dhawan Space Centre,PSLV,2016-059B,41784
Resourcesat 2A,Resourcesat 2A,India,India,Indian Space Research Organization (ISRO),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,814,831,0.001181787,98.7,101.3,1235,,,07-12-2016,5,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,PSLV,2016-074A,41877
ScatSat-1,ScatSat-1,India,India,Indian Space Research Organization (ISRO),Government,Earth Observation,Meteorology/Earth Science,LEO,Sun-Synchronous,0,717,731,0.000986749,98.1,99.3,371,,,26-09-2016,5,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,PSLV,2016-059H,41790
Youthsat,Youthsat,India,India,Indian Space Research Organization (ISRO),Government,Space Science,,LEO,Sun-Synchronous,0,802,824,0.001531394,98.7,101.2,92,,,20-04-2011,2,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,PSLV C16,2011-015B,37388
